"id","name","enName","directors","totalSale","totalAudience","cinemaCount","hallCount","releaseYear","genres","type","usersRating","actors","writers","ratesCount","movieRate","trailer","description","criticism","comments"
2539,"رسوایی",,"مسعود ده نمکی",4082605000,1128715,0,71,1392,"اجتماعی, درام, کمدی","cinema",,"اکبر عبدی, الناز شاکردوست, محمدرضا شریفی‌ نیا, کامران تفتی, تینا آخوندتبار, اسداله یکتا, اسماعیل خلج, ارسلان قاسمی, امیر دژاکام, مریم کاویانی, مجید مشیری, مهسا کامیابی, محبوبه بیات, عباس محبوب, آرزو افشار, مجید شهریاری, فریبا ترکاشوند, مختار سائقی, مجتبی امینی","مسعود ده نمکی",15,3.2666666666666666,"https://aspb10.asset.aparat.com/aparat-video/a2e0b25535952c1b0b84dbe8e939e1a03520359-272p.mp4?wmsAuthSign=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0b2tlbiI6ImQzNTkwOGRkOGE0MTNjZjVhMjExZmEzZjdlOWUwNjRhIiwiZXhwIjoxNzQ1NzA2OTY0LCJpc3MiOiJTYWJhIElkZWEgR1NJRyJ9.Ohtk6o-n4UJEd_mJ-dNdMStcmKJsF4DfvhKOhHaIOTg","رسوایی چهارمین فیلم مسعود ده‌نمکی به‌عنوان کارگردان است. الناز شاکردوست، اکبر عبدی، محمدرضا شریفی‌نیا و کامران تفتی بازیگران اصلی فیلم هستند. رسوایی به موضوع امر به و معروف و نهی از منکر اشاره دارد. برخی از عوامل فیلم عبارت‌اند از: نویسنده و تهیه‌کننده: مسعود ده‌نمکی، فیلمبردار: فرشاد گل‌سفیدی، تدوین‌گر: سیدمیثم هاشم‌زاده.
خلاصه فیلم : داستان دختری به نام افسانه را به تصویر می‌کشد که به دلیل بدهی‌های مالی پدرش زیر فشار طلبکاران است. اما آشنایی او با روحانی‌ای زندگی‌اش را تحت‌تاثیر قرار می‌دهد و سبب می‌شود تا مشکلاتش را حل کند.","",""
2560,"هیس! دخترها فریاد نمی‌زنند",,"پوران درخشنده",3433614000,897492,0,58,1392,"اجتماعی","cinema",,"شهاب حسینی, مریلا زارعی, طناز طباطبایی, بابک حمیدیان, امیر آقایی, جمشید هاشم پور, ستاره اسکندری, شیرین بینا, رضا توکلی, مهدی ماهانی, فرهاد آئیش","پوران درخشنده",21,4.238095238095238,"https://hw18.asset.aparat.com/aparat-video/b1b41002925a2ae63c2248d7bb5ab0eb27274074-360p.mp4?wmsAuthSign=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0b2tlbiI6ImFjZDQ2YTRiYjFmNWNjOWExYWM0NmJiMDhjMDcwYzEwIiwiZXhwIjoxNzQ1NzA3MDM2LCJpc3MiOiJTYWJhIElkZWEgR1NJRyJ9.VrxoFMypoSJOb36a2UxPf_54ObHNB_Rb7k2aws14ijg","درباره فیلم : هیس! دخترها فریاد نمی‌زنند فیلمی از پوران درخشنده است .این فیلم دربارهٔ تجاوز کودکان دختر و تعرض به اطفال خردسال است.نشریه معتبر ورایتی ایالات متحده آمریکا از این فیلم تمجید کرد.

خلاصه فیلم : شیرین که در کودکی مورد تجاوز قرار گرفته است دو بار تا آستانه‌ی ازدواج پیش می‌رود اما ازدواجش به هم می‌خورد. در سومین مراسم ازدواجش با مردی که واقعا عاشق اوست، حادثه ای برایش رخ میدهد که ...","",""
2541,"حوض نقاشی",,"مازیار میری",1644989000,390019,0,42,1392,"اجتماعی, درام","cinema",,"شهاب حسینی, نگار جواهریان, سپهراد فرزامی, فرشته صدرعرفایی, سیامک احصایی, الهام کردا, محمدمهدی احدی, مهسا مهجور, هلیا کریمی","حامد محمدی",25,4.88,"https://hw17.asset.aparat.com/aparat-video/17c38a90dad36938af097c234fc4943127217717-360p.mp4?wmsAuthSign=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0b2tlbiI6ImQ1YWNjN2RlZDNkMjAxNDI1NmJjZjdmNDk5MWMxZjM0IiwiZXhwIjoxNzQ1NzEwNTY4LCJpc3MiOiJTYWJhIElkZWEgR1NJRyJ9.LuOTgOa5rifxhU6U4T70yBtbpEupLFX1tKbhtosUdVA","حوض نقاشی فیلمی به کارگردانی مازیار میری، نویسندگی حامد محمدی و محصول سال 1391  است. این فیلم در سی‌و‌یکمین جشنواره فیلم فجر حضور داشت و برنده‌ی بهترین فیلم از نگاه تماشاگران و بهترین طراحی صحنه و لباس شد. شهاب حسینی، نگار جواهریان، سپهراد فرزامی، الهام کردا و فرشته صدرعرفایی از بازیگران اصلی فیلم هستند. برخی از عوامل فیلم عبارت‌اند از: تهیه‌کننده: منوچهر محمدی، مدیر تولید: مجید کریمی، مدیر فیلمبرداری: محمد آلادپوش، تدوین‌گر: محمدرضا مویینی. خلاصه فیلم: مریم و رضا طن و شوهری هستند که هردو با دیگر آدم‌ها کمی فرق دارند و همین تفاوت سبب شده تا آنها در مواجهه با تنها پسرشان دچار چالش شوند.","",""
2562,"جا به جا",,"علی توکل نیا",1291235000,369918,0,52,1392,"کمدی","cinema",,"اکبر عبدی, جواد عزتی, مهران غفوریان, افسانه چهره آزاد, سمانه پاکدل, حمید لولایی, مهران رجبی, شیوا خسرومهر, گیتی قاسمی, آرش تاج تهرانی, مهدی صباغی, دانیال مرادی, محمد افشار, پریسا رضایی, پیمان یونسی, المیرا عبدی","بابک ربیعی",0,3.1,"https://as6.asset.aparat.com/aparat-video/3176c73c903b500157661816ffcd319c27217548-360p.mp4?wmsAuthSign=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0b2tlbiI6ImNkZWFmYjZlNmNmNDJmYWFlNzExNjY2MmUzMTQ5ODYyIiwiZXhwIjoxNzQ1NzEwMjM2LCJpc3MiOiJTYWJhIElkZWEgR1NJRyJ9.36X1xvQXPZsRDQx0_cf4_2llfRdsA48gCFtRmsJ23sM","جا به‌ جا فیلمی به کارگردانی علی توکل‌نیا و محصول سال 1391 است. در این فیلم بازیگرانی همچون اکبر عبدی، جواد عزتی، مهران غفوریان، افسانه چهره‌آزاد و سمانه پاکدل نقش‌آفرینی کرده‌اند. برخی از عوامل فیلم عبارت‌اند از: نویسنده: بابک ربیعی، تهیه‌کننده: حسن توکل‌نیا، فیلمبردار: رضا شیخی، تدوین‌گر: رضا مطهری و محمداحسان اجتهادی. 
خلاصه فیلم : داستان فردی را روایت می‌کند که به اشتباه با یک فرمانده جنگ جابه‌جا گرفته می‌شود و همین امر سبب ایجاد دردسرهایی برای او می‌شود.","",""
2538,"پل چوبی",,"مهدی کرم پور",1245365000,295402,0,27,1392,"اجتماعی, درام","cinema",,"بهرام رادان, مهناز افشار, هدیه تهرانی, مهران مدیری, آتیلا پسیانی, برزو ارجمند, امید روحانی","مهدی کرم پور, خسرو نقیبی",8,4.625,"https://hw19.asset.aparat.com/aparat-video/b3492265b9e92b69a0b639d68255454c27272175-360p.mp4?wmsAuthSign=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0b2tlbiI6ImM3NDkyYjRiZDJhN2Y3NzEyODZiZDYyYzkxNGFmM2VkIiwiZXhwIjoxNzQ1NzA3MDg1LCJpc3MiOiJTYWJhIElkZWEgR1NJRyJ9.cBBgqNCGqI7wQh3kbs-c0MgzwnH2bALMoJGHIoam6tY","درباره فیلم : 
پل چوبی فیلمی به کارگردانی مهدی کرم‌پور است که در سال ۱۳۹۰ ساخته شده‌است و پس از دو سال در سال ۱۳۹۲ در سینماها اکران شد.

«پل چوبی» معبری بود بر خندق شمالی طهران، مابین پایتخت و ییلاق شمیران … محل اتصال طهران قدیم و تهران مدرن. این‌جا و اکنون محله پل چوبی یادگار گذشته است. نامی به‌جا مانده در قلب شهر پر هیاهو؛ محل رخداد عاشقانه‌ای ناآرام
خلاصه فیلم :  سال ۱۳۸۸ امیر و شیرین در آستانهٔ دهمین سالگرد ازدواج‌شان قصد مهاجرت از ایران را دارند که کارهای سفرشان به مشکل برمی‌خورد و به پیشنهاد استاد قدیمی شان، شیرین برای گرفتن ویزا و فراهم‌کردن مقدمات مهاجرت نزد او در دبی می رود. امیر به دلیل علاقهٔ قدیمی صبوحی به شیرین مخالفت میکند. به علت حوادث بعد انتخابات و دستگیری آیدا خواهر امیر و بازگشت نازلی عشق امیر بعد از ده سال مشکلاتی برای این زوج رقم میزند.","",""
2566,"دربند",,"پرویز شهبازی",1235138000,310019,0,43,1392,"اجتماعی, درام","cinema",,"نازنین بیاتی, پگاه آهنگرانی, احمد مهرانفر, بهرنگ علوی, فرید سماواتی, فاطمه مرتاضی, امیر سمواتی, پیمان مقدمی, لادن سلیمانی","پرویز شهبازی",7,4,"https://hw20.asset.aparat.com/aparat-video/a8bedc8ff22825e035294a848ccea7a727217981-480p.mp4?wmsAuthSign=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0b2tlbiI6IjhlNGY2ZDFkODVjMzVjMDcwYTU5ZTFkNjgyZDNlMDVhIiwiZXhwIjoxNzQ1NzEwMjk2LCJpc3MiOiJTYWJhIElkZWEgR1NJRyJ9.AF-RYgVH8Is8Wa6DwVls63rihuauyRZutRP_15UV5dA","دربند فیلمی به کارگردانی و نویسندگی پرویز شهبازی و محصول سال ۱۳۹۱ است. نازنین بیاتی، احمد مهرانفر، پگاه آهنگرانی، بهرنگ علوی، فرید سماواتی و .... در این فیلم ایفای نقش کرده‌اند. برخی از عوامل فیلم عبارت‌اند از: تهیه‌کننده: فرید سماواتی، فیلمبردار: هومن بهمنش، تدوین‌گر: پرویز شهبازی، مدیر صحنه: حامد ظریف اصفهانی. خلاصه فیلم: داستان دختری به نام نازنین را روایت می‌کند که در پی قبولی در دانشگاه از شهرستان به تهران می‌آید و با دختری به نام سحر که در یک عطرفروشی کار می‌کند، آشنا می‌شود. نازنین به خانه‌ی سحر می‌آید تا با او زندگی کند. سحر هرشب مهمانی می‌گرفته و همین امر سبب شده تا تمرکز نازنین بهم بخورد. در نهایت و در پی دستگیری سحر توسط پلیس، نازنین دست به هرکاری می‌زند تا دوست خود را نجات دهد.","",""
2561,"دهلیز",,"بهروز شعیبی",1144027000,286549,0,32,1392,"اجتماعی, خانوادگي, درام","cinema",,"رضا عطاران, هانیه توسلی, شاهرخ فروتنیان, افسانه چهره آزاد, نگار عابدی, سعید چنگیزیان, مسعود میرطاهری, مهدی صباغی, پروین ملکی, ژاکلین آواره, سارا پورصبری, محمدرضا شیرخانلو","علی اصغری",5,4.6,"https://as3.asset.aparat.com/aparat-video/ef431d9eaff82a63d6ded3ade3bfbe8d27237334-360p.mp4?wmsAuthSign=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0b2tlbiI6IjgxN2IwOTE1ZjExNTQ5MDNiYzYzMTU3YzAyOWQ0ODVlIiwiZXhwIjoxNzQ1NzEwMjM4LCJpc3MiOiJTYWJhIElkZWEgR1NJRyJ9.fsNklfYSSZYxY5C-_iZQ5KZQ-aDK91j0p_mS5IjxYqQ","دهلیز فیلمی در ژانر درام-خانوادگی است که در سال 1392 توسط بهروز شعیبی کارگردانی شده است. رضا عطاران، هانیه توسلی و محمدرضا شیرخانلو بازیگران اصلی فیلم را شامل می‌شوند. تهیه‌کننده: سیدمحمود رضوی، نویسنده: علی اصغری، فیلمبردار: مهدی جعفری، تدوین‌گر: حمیدرضا قربانی برخی عوامل دهلیز را شامل می‌شوند. 

خلاصه فیلم: داستان زنی به نام شیوا را روایت می‌کند که همسرش بهزاد به دلیل یک نزاع خیابانی در زندان است. شیوا سرپرست خانواده است و مسئولیت نگهداری از تنها پسرش را نیز دارد. اما با رسیدن نامه‌ای زندگی او و پسرش دگرگون می‌شود و در مسیر جدیدی قرار می‌گیرد.","",""
2551,"چه خوبه که برگشتی",,"داریوش مهرجویی",1075053000,254392,0,39,1392,"اجتماعی, کمدی","cinema",,"رضا عطاران, حامد بهداد, مهناز افشار, رویا تیموریان, حسن پورشیرازی, همایون ارشادی, علیرضا جعفری, راضیه فرجی, علی اصغر طبسی, محمد کارت","وحیده محمدی فر, داریوش مهرجویی",4,3.75,,"چه خوبه که برگشتی فیلمی به کارگردانی داریوش مهرجویی و نویسندگی مشترک او با وحیده محمدی‌فر است که در سال 1391 تولید شده است. رضا عطاران، حامد بهداد، مهناز افشار، همایون ارشادی و رویا تیموریان از بازیگران اصلی این فیلم هستند. برخی از عوامل فیلم عبارت‌اند از: تهیه‌کننده: داریوش مهرجویی و رضا درمیشیان، مدیر تولید: مهدی بدرلو، مدیر فیلمبرداری: بهرام بدخشانی، تدوین: هایده صفی‌یاری.
خلاصه فیلم: داستان دندان‌پزشکی را روایت می‌کند که پس از سال‌ها زندگی در خارج، به ایران می‌آیدو با شی‌ای شبه‌فضایی مواجه می‌شود که رفاقت دیرینه‌اش را با کامبیز تحت‌تاثیر قرار می‌دهد.","",""
3022,"بوی گندم",,"رضا خاکی",864509000,254368,0,45,1392,"اجتماعی, درام","cinema",,"رضا یزدانی, پولاد کیمیایی, الناز شاکردوست, مصطفی زمانی, رضا توکلی, علی اوسیوند","",3,5,"","عرفان و دوستانش تصمیم دارند بر روی سکوی نفتی که پدر عرفان در آنجا شهید شده است، کنسرتی به یاد او و خیلج فارس اجرا کنند …","",""
2534,"برف روی کاج‌ها",,"پیمان معادی",778453000,180548,0,25,1392,"اجتماعی, درام","cinema",,"مهناز افشار, ویشکا آسایش, صابر ابر, حسین پاکدل, حسن معجونی, الهام کردا, آناهیتا افشار, زانیار خسروی, شیرین یزدان بخش","پیمان معادی",3,3,"https://as2.asset.aparat.com/aparat-video/b648bce422f3d13b3ba4e7876b978db425516851-480p.mp4?wmsAuthSign=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0b2tlbiI6ImJjNTc3OWUyZDlmZDhlMGQwYzA5ZDYzNzhmZWE0YjdhIiwiZXhwIjoxNzQ1NzEwNTU0LCJpc3MiOiJTYWJhIElkZWEgR1NJRyJ9.BKQcJkDaVrPKNOZ4hRI2vnIQsWWS55IRcnvRfXmhcqg","درباره فیلم : برف روی کاج‌ها فیلمی به کارگردانی و نویسندگی پیمان معادی محصول سال ۱۳۸۹ است.
خلاصه فیلم : 
رویا مدرس پیانو در مواجهه با یک اتفاق بزرگ در زندگی‌اش، بر سر دو راهی تصمیم قرار می‌گیرد، او یا باید مطابق عرف دست به انتخاب بزند یا ...","",""
